	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
Gene1	4.57491463336633	5.6202338047471	6.47173240475719	6.96672959385035	6.93963345869683	6.33730589013735	5.40994852575669	4.41889046513628	3.4835541335358	2.99982405250026	3.14785591033425	3.68299741123759
Gene2	3.08109924602666	3.08528666295573	3.48240607461988	4.35520669031046	5.39910900097408	6.34942400886063	6.83160093157434	6.92287331981965	6.5039973814044	5.63272095566329	4.60595901352926	3.70888685373581
Gene3	2.97849347028908	3.20984982710069	3.91894798351145	4.90236674848172	5.89939069689413	6.67262997453454	6.95466684974662	6.74290987558534	6.04222082464857	5.13055834161076	4.0861543908918	3.36843755621089
Gene4	5.37184519928878	4.3202850251482	3.44784033026978	3.07644945347701	3.0894680683524	3.68256685199356	4.5943543610917	5.61774611968112	6.45693611434066	6.97288048522576	6.98463462319539	6.32642128656679
Gene5	5.04195158468217	4.04844902890103	3.28835257702989	2.95963444931072	3.19858570702264	3.94588318666078	4.98395608602499	5.98734717454888	6.6903940530892	7.02005203780139	6.71253587026681	6.00118292195133
Gene6	6.89488400806388	6.52988475588881	5.63810314615622	4.63396460815775	3.63235619718898	3.06237634289573	2.98495979562626	3.53798748196362	4.3735676352128	5.42642161856473	6.30637891014456	6.83492599522788
Gene7	6.59951856603726	5.69055137881429	4.70519027579674	3.74042374281923	3.18189822239558	3.00356413492182	3.45576227550536	4.26728214732824	5.32851583128256	6.23963281182909	6.88328099683605	6.98096660279453
Gene8	4.33279147255829	5.38483937663654	6.29109764238371	6.87524081894138	6.94781215006166	6.47578186094275	5.72350588576069	4.61918468707485	3.71236025783942	3.13315378050777	3.07749669028753	3.42674887367022
Gene9	6.99515106467446	6.52001021737296	5.61885874940071	4.67604470774568	3.67526904984809	3.10524465368494	3.04961725196802	3.4256665955342	4.30521541665692	5.38587486207332	6.26849715778605	6.89514558102972
Gene10	3.92785317471211	3.30492498817368	3.01687948223422	3.29814026471539	4.06948961154973	5.05060379330694	6.0238946207173	6.74595795907198	6.96560106699314	6.696702200603	5.93557053774171	4.89988503976407
Gene11	6.89704901011642	6.50985114520043	5.49120594892655	4.51060948635271	3.55939592418754	3.01976040963168	3.08732138546243	3.59678816489345	4.48405849847138	5.56760428082123	6.40136531128916	6.9444621077891
Gene12	4.00253388573262	5.01083052988444	6.07572299740772	6.71714722303334	6.95640113072536	6.73270619038036	5.97323257159103	4.99104522198847	3.98375387560264	3.26652624930643	2.98344893724914	3.29304129611379
Gene13	6.04314068640711	6.83508795482118	7.00060037046582	6.70918291007374	5.89908765585639	4.98318843993547	3.96171826210216	3.27379031323307	2.95395057752493	3.34069312335225	4.06675273281861	5.05446033308405
Gene14	5.77117697628679	4.69063994008996	3.72608470656134	3.15610777371734	3.06201388990823	3.38039120875844	4.21348729867531	5.29874966610386	6.19741103680752	6.85404801456216	6.98843551258487	6.57783636903153
Gene15	6.16563995830205	5.24375540550328	4.27513787483601	3.41507380985375	2.99369734221951	3.16637896362225	3.74160431548895	4.77980486312525	5.75130590292131	6.57943073453953	6.9577686388167	6.93197761130817
Gene16	6.99730450978891	6.61253371636023	5.82868943559864	4.78850977006708	3.91797295354797	3.14505014511443	2.97041860388964	3.32539782038591	4.15957570899999	5.14090972316662	6.15522948158991	6.85236203431295
Gene17	6.02596562865679	6.76762468173278	6.99575038234333	6.65456335955091	5.93569705505555	4.95070122600983	3.89479870853082	3.21235332654822	3.03067333948002	3.30164121648176	4.10262878111867	5.07374129766848
Gene18	6.23213565255109	6.84270074566007	6.98089589727939	6.56591511853953	5.76194418788661	4.68495078413394	3.77816716926865	3.12724637158879	3.03145057148842	3.46813218254067	4.24396763313557	5.32758321160729
Gene19	4.19445450166644	3.41585642892919	2.95178357972414	3.18405738988065	3.77688210892166	4.75370470490482	5.80486311610668	6.58382540740454	7.01776171907769	6.83207223343686	6.18096020006513	5.21240890174923
Gene20	6.98656741928603	6.58768680762527	5.76721282844785	4.68892283584361	3.79199631249205	3.17958523995099	2.99608195563137	3.42759083562304	4.26155615310085	5.28488191914169	6.19364428645858	6.86946644988025
Gene21	3.007320458428	3.32527283188015	4.08208231897713	5.16216349286966	6.13498434958074	6.79934460115742	7.01225350679667	6.60192301308432	5.87721666590688	4.87675937135908	3.86315160983019	3.27904342478749
Gene22	3.076842703902	3.06495791177999	3.61779690221588	4.57115109358372	5.62956599745902	6.49375274465285	6.9824186359143	6.91744882860232	6.34461766582303	5.46517232631692	4.40639573267391	3.51625933707693
Gene23	4.69564294465013	5.7326767289254	6.60359500505088	6.95685941078556	6.86220365129117	6.23776215807004	5.24283748844486	4.24566300709077	3.38813502432931	2.99369101741832	3.12231142133239	3.72020804304059
Gene24	6.15544606977909	5.18277614724991	4.09946755364797	3.37708164535283	2.98733321571537	3.1951744385138	3.84645689237391	4.87631174164881	5.87778959607909	6.65398218737734	6.973340132174	6.80706684548622
Gene25	3.6514558539957	3.04882995673797	3.09185004723562	3.62650843750733	4.39907144551889	5.47611246413421	6.46115139033332	6.96204837104113	6.89929520471629	6.40012096489805	5.4834407217547	4.49721865131024
Gene26	3.10541679205455	3.62218913825754	4.49810696965947	5.57823495829827	6.46053460270671	6.92105141526519	6.932329851151	6.35507740212471	5.45271450525579	4.43329825310985	3.46503298756066	2.99115066819972
Gene27	5.77301150368934	4.68267928347387	3.79988379962642	3.18048595784615	3.06866277348796	3.37473109332187	4.23844791635367	5.28229498599994	6.2365985306596	6.88296254634907	6.96775804687723	6.52892574033485
Gene28	6.65318742511142	6.97385567345349	6.76217231492235	6.06578250729947	5.08983381286354	4.06775930638868	3.32078891517496	3.00725086464079	3.21354525687273	4.01454796725041	4.93247019517506	5.91680585775591
Gene29	3.4873543504269	4.33184176541341	5.39432132123931	6.27135782047859	6.89733103061588	6.97940711492067	6.59920031625531	5.68304261296518	4.61453858150411	3.73497331117764	3.09661873002384	3.00259665274945
Gene30	3.04271502057795	3.44478461399726	4.28425470161062	5.36857955154797	6.26564798249997	6.88785464106108	6.97748592922521	6.58238756092068	5.71193329770808	4.6975370350236	3.69794859099066	3.12590517545637
Gene31	4.33753389935697	3.49926972109741	3.00533461671861	3.10891581459311	3.69110174476908	4.60783452431721	5.71587792569861	6.53500641434966	6.96240095427808	6.87553353410836	6.29279649218512	5.38231651688519
Gene32	4.04672682678737	5.06872684008232	6.10061596012097	6.77274148643643	6.9665067757021	6.67650838487499	5.90188000631838	4.96982220655363	3.90044988306012	3.22491813823076	2.99614214517712	3.26847031773411
Gene33	3.13283578413642	3.79532252655182	4.73986052300116	5.70320759851831	6.59707988389556	6.99804579749199	6.85390662664132	6.25382835972898	5.29375518253371	4.22821390180567	3.4350371332369	2.99963809189729
Gene34	7.0330536183645	6.8143673986937	6.08859320674075	5.0460518263313	4.03151627660972	3.27530918508678	2.98318198193424	3.18812297676588	3.96337975816346	4.94238683422522	5.94043773675069	6.67655736673359
Gene35	2.9828522020329	3.18690402286616	3.92758645938378	4.89618172274885	5.88752484185969	6.64907337099833	7.03131781377952	6.80663487892174	6.08448080241108	5.14388431902669	4.10583242595775	3.30843572683835
Gene36	3.38142295151109	4.14299979412003	5.15632854637887	6.16302312433055	6.80795025302755	6.96793399005093	6.6203686135556	5.83311436094105	4.82612987003514	3.87156770763263	3.12347889893408	3.03744107131281
Gene37	6.70440918662996	6.00774200075498	5.09719776014371	4.06680720644266	3.34391007222554	3.0028899029303	3.22875404698651	3.86523211005017	4.82097799776238	5.95328660498035	6.72111237900458	6.95846392625393
