libraryID	subjectID	hour
Sample1	1	2
Sample2	1	8
Sample3	1	14
Sample4	1	20
Sample5	2	2
Sample6	2	8
Sample7	2	14
Sample8	2	20
Sample9	3	2
Sample10	3	8
Sample11	3	14
Sample12	3	20
Sample13	4	2
Sample14	4	8
Sample15	4	14
Sample16	4	20
Sample17	5	2
Sample18	5	8
Sample19	5	14
Sample20	5	20
Sample21	6	2
Sample22	6	8
Sample23	6	14
Sample24	6	20
Sample25	7	2
Sample26	7	8
Sample27	7	14
Sample28	7	20
Sample29	8	2
Sample30	8	8
Sample31	8	14
Sample32	8	20
Sample33	9	2
Sample34	9	8
Sample35	9	14
Sample36	9	20
Sample37	10	2
Sample38	10	8
Sample39	10	14
Sample40	10	20
Sample41	11	2
Sample42	11	8
Sample43	11	14
Sample44	11	20
Sample45	12	2
Sample46	12	8
Sample47	12	14
Sample48	12	20
Sample49	13	2
Sample50	13	8
Sample51	13	14
Sample52	13	20
Sample53	14	2
Sample54	14	8
Sample55	14	14
Sample56	14	20
Sample57	15	2
Sample58	15	8
Sample59	15	14
Sample60	15	20
Sample61	16	2
Sample62	16	8
Sample63	16	14
Sample64	16	20
Sample65	17	2
Sample66	17	8
Sample67	17	14
Sample68	17	20
Sample69	18	2
Sample70	18	8
Sample71	18	14
Sample72	18	20
Sample73	19	2
Sample74	19	8
Sample75	19	14
Sample76	19	20
Sample77	20	2
Sample78	20	8
Sample79	20	14
Sample80	20	20
