	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80
Gene1	6.60069352495744	3.54034066714999	3.41397928283931	6.44319675916692	6.66548611414505	3.75599391347978	3.41960813998033	6.29371252580769	6.42447306334649	3.73135322412151	3.35223085688573	6.05941839943717	6.23139309168339	3.77829895853109	3.52357360944367	6.39458861839567	6.709414536786	3.66243216100682	3.12615604886657	6.0151007595317	6.50307352309952	3.72293643957149	3.34836092872488	6.13880034823351	6.68995409872056	3.83616079705723	3.31306579458581	6.25342605652384	6.54711117626014	3.61171771438701	3.30783104068164	6.16559220089565	6.56042748672706	3.91919459082671	3.34815927158289	6.20908838347565	6.64125868275942	3.83414560573851	3.28148461403586	6.15140894906516	6.69483323485231	3.92530114005099	3.15869574597843	6.26891028152103	6.74581390729688	3.83362901975972	3.28270949481506	6.30184659754025	6.80241480673743	3.82898486873558	3.49098488462443	6.25413745662331	6.51093514444244	3.8137629232605	3.06343575585519	6.25801864433676	6.43232161509841	3.83942896653572	3.58893099379583	6.42417540801022	6.71558747273006	3.90370684231924	3.29070618109051	6.28117720131466	6.58654717015476	3.81568084777545	3.34701187197311	6.08977940648536	6.64210438122474	3.80340966059713	3.69596030384552	6.27277914154796	6.58902814190882	3.70937771884842	3.2910743843753	6.58346695776554	6.69005833761069	3.80858418231911	3.57134136651307	6.31351610502418
Gene2	6.64654624513458	5.85635516218553	3.23986732990411	3.9337555699101	6.85289033563306	5.84476356306959	3.27626074051654	3.8679545509146	6.90309066413765	6.11010497636701	3.3337667113605	3.94459125177634	6.75086329220086	5.77011347787401	3.30221976841709	4.05933042927848	6.74312735267955	5.9775732048642	3.19428050220779	3.84395162321017	6.65661505427723	6.05395575218173	3.2226776475612	4.09526800933585	6.53717492525509	6.06489984827623	3.18867432160113	3.71768725299101	6.77929239602242	5.85071000440038	2.92991507145807	3.83350914562813	6.78879930090151	6.02365645445651	3.39658982833876	3.94209673791455	6.6744037304002	6.14446804216272	3.34983473733837	3.95649871520455	6.61243278194826	5.72662612787343	3.33559359405938	4.00952520015289	6.79794059481892	6.02836974296797	3.42361183753132	3.99883337710278	6.58296482208816	6.02468375299198	3.06248076302555	3.99005110781953	6.98523172882333	6.14324088937484	3.5414353669145	3.89935771440327	6.76992599641676	6.0867703301547	3.1365183167135	4.23280606346267	6.62904209700899	6.15750046683465	3.56969724041106	4.09367080287701	6.65234920981485	6.07771536956891	3.07453448245461	3.94387330623534	6.86189574872622	5.80101002267638	3.33317778315305	3.93616049096719	6.8026729233144	6.16158400194376	3.04158358462679	3.99532947312393	6.89887120326987	6.03661233160649	3.08184111982293	4.03925995889679
Gene3	4.85592121934931	6.81683056379012	4.95600653424171	2.98888223261018	5.2526125338227	7.06606558983938	4.83800576087204	2.76834529316918	5.6202619713688	7.01771367258488	4.86961057278386	3.02316028012548	5.01468467806504	6.90705172020692	4.9829358823605	3.04886979789709	4.9162272950124	7.15265532093889	4.87745965161948	3.0924241175672	5.07407021162124	7.11211291600125	4.76396038829753	2.96256160383043	5.17970962611141	6.68215094499175	4.6919094731922	2.85398703669046	5.24047573751837	6.9626513914017	4.69041325885778	2.81053932419354	5.16509760208116	7.00059371373403	4.91045238896903	3.15758976048016	5.05676995261535	6.75106352005175	4.62735323695497	3.07812919836061	5.19507286810232	7.26071300128329	5.02339286746097	3.19154252672357	5.05960784721638	7.19169815951854	4.66991704283655	2.92832085663167	5.07892595279039	7.32163852169542	4.64408102697749	3.19750334100909	5.07476992636926	6.98699816852027	4.79806546541858	2.91704420618139	5.30264865562367	6.86196427648329	4.76355287386093	2.77248556033529	5.18652084767239	7.0208262202696	4.52801421683143	2.91117523095084	5.358949571865	6.72882220274871	4.54996631849032	2.67352575404453	5.45863552676157	6.72390163640461	4.66555820332989	2.95649115571848	5.1234237694953	6.71010273005287	4.4779037550866	3.02264488681246	5.1658612250527	6.99302760374372	4.48214724085829	3.1566470164635
Gene4	5.18881478614463	3.21489196932626	4.61223192728728	7.21842547057474	5.34098212193378	3.12670156064541	4.41140756359066	6.96270372103987	5.44371383821381	2.8978718789863	4.4926584096848	6.8903100545299	5.34923773501262	2.8076092781029	4.6709161438702	7.18556294042823	5.16332019480051	3.06816045187804	4.78189393700662	6.91863118852243	5.58668891552524	2.87367166106738	4.68892965633447	7.14671500991265	5.29348573152412	3.10315415148888	4.67259798744589	6.93473082877813	5.13371980101203	3.02003248029285	4.74626336287732	6.85230419727651	5.43755449825495	2.951322217348	4.59884378812369	7.09735500833173	5.32362651099699	2.88177882370646	4.54354348410046	6.95319483824897	5.44857616390133	3.06865105165959	4.30641895665301	6.79372441409725	5.01685440335582	3.06892356505506	4.5999662282928	7.05835513338222	5.35690385715741	2.90454484927142	4.55274481723252	6.75429839820305	5.47171145363594	3.04240263197499	4.72793843626954	6.91334375426009	5.14427286358155	2.97214196740501	4.76984539496591	7.04784508813552	5.36854479347089	3.12177388711664	4.60443662563368	6.82306909653154	5.17159611858166	2.88871332646237	4.70578052578716	6.7729422196449	5.51668943968573	3.26883919967356	4.69651311466322	6.9379964911814	5.44509327906429	3.15589446114643	4.4097338585767	6.87801928448704	5.310064375241	3.02450969066288	4.56468056198471	6.93489499099047
Gene5	2.95154305068839	5.50105676754912	6.98958746668633	4.6055854589589	2.91621054484653	5.6645284839579	6.85693891285987	4.35173763889368	3.05102894380015	5.49334348971056	7.06681749641506	4.4909163958345	3.07660123664849	5.5706611047335	6.83802164931813	4.40797852986054	3.00716043635581	5.39096596167496	6.91412353548683	4.53906514685241	3.18750736248757	5.57431798695605	6.70161585480438	4.33295378384641	2.97228211072664	5.45464668437033	6.83321097852726	4.18673743909677	3.00781216245841	5.69032826718091	6.83617615033783	4.61853336823544	2.89092461508196	5.57657413646514	6.77310632800765	4.52823626080531	3.11735135246113	5.27570872411085	6.82693887772295	4.5673419568935	3.13731116738044	5.18687510960416	7.03493454201898	4.51813576591434	3.00827262194664	5.41125173559582	6.76217542885734	4.46218107547724	3.2151260491574	5.48382536777895	6.65303898818627	4.49913497102429	2.76481502270384	5.37340352685169	7.04568452067395	4.41550928577499	3.51736330492612	5.72662474681199	6.98211930234902	4.39787722254485	3.21047896017761	5.59429298501934	6.8575227128264	4.51461145198258	3.07047045071768	5.55800863847166	6.85628103725476	4.50361100286959	2.82257294404496	5.5010384259152	7.0996596394977	4.57542203708439	3.08113631538919	5.59642539203939	6.8161205454107	4.53617380283242	3.06954839245428	5.48204862217502	7.06387971218912	4.17395601611722
Gene6	6.83321726713323	4.18022808183925	3.11454027152725	5.84029921016051	7.02987768723606	4.01777069853443	2.97884591797912	5.91652992268737	6.70371794697824	4.10879535246763	2.9548180802806	6.05273128800897	6.82910369041161	4.02768147570371	3.2288775818782	6.03241363023434	6.85999662264538	4.19853977809437	3.18584963792495	5.82710761790058	6.99243790559758	4.31240098021193	3.10525675076288	5.76847844872066	6.80568464273068	4.12200058593018	3.28718064677642	5.8547708858106	6.90594463813581	3.8888640968874	3.20428280003169	5.72532367666125	6.43549148787462	4.28489193870331	3.44627780935157	6.01468239764408	6.73502385751622	4.01176557138313	2.93354419135722	5.99013389090438	6.76001108908972	4.21665732846672	3.45500786680838	5.80836793268571	6.90112829518485	4.20596127049861	3.12855340399386	5.9979840587521	6.5775657046529	3.91583352017383	3.00106234552759	5.82774888610439	6.62827626809136	3.94359677288343	3.24979257036153	6.04353302079895	6.95462242528587	3.89796593685106	3.09688792314571	5.81608176936345	6.58724221761959	4.32416381731793	3.33028581386101	6.02419011667399	6.75032125816078	4.11607930255639	2.91063041290992	5.76325604550868	6.79391967006295	4.03662882518711	3.08940025040733	5.88555821110926	6.78600913072615	4.12429821553065	3.25942855868269	5.82456907274272	6.55264662249676	4.08964835696322	3.13421539734332	5.94667569921157
Gene7	5.25741672112963	6.83294540030503	4.89454157757184	3.05236913605069	5.16702078504488	6.98916780494673	4.87211792265607	2.99991541799345	4.99750149576629	6.97463304994747	4.68131335277259	3.05511698314686	4.86974110270506	6.65431168155105	4.95251371829964	3.08525439866178	5.28706692089959	7.2168212019292	4.90520508812954	3.09068227473053	4.89614649019689	6.95644285018327	4.87794110583447	2.90455437208295	4.95021835606668	7.15997563338754	4.92782739040553	2.79234765834707	5.10193728887545	6.95986324616492	4.89866593047292	2.76052273457487	5.20386293937268	6.86217454612701	5.04509133161271	3.10960857108729	5.15428174318927	6.95879985721038	5.30531860844608	3.04625307874322	4.95362802728501	6.93710707156463	4.72280937700197	2.93850278755229	5.14178296929	7.05491682355806	4.89808986189178	3.11128231160388	4.97976185960074	7.02378258627511	5.00076397372941	2.95852745138902	4.94408288633834	7.09100889642749	5.00132511359977	3.01763082073217	4.93165134770665	7.10200792822893	4.92345015669125	2.87867360840359	4.9268698140273	6.894528716058	4.72327609487838	3.05871450594508	4.99955166934435	7.10053950590704	4.99142587103492	3.21546324381324	5.12476925240487	7.00077525276334	4.77224990026607	2.71739412642627	5.00293802091352	7.0464589581528	4.83922989923368	3.16199249599172	5.12739368775207	7.06336673780706	5.00114197989736	3.17967524864647
Gene8	4.65253586031731	6.97490632499476	5.01759272573315	3.06360986827011	4.86598966522557	6.87956008309894	5.33745322602795	3.033649223506	4.73709784012494	6.91489143593721	5.38779228135744	2.97367648228132	4.63838276105034	6.83334946488749	5.23239413575491	3.24626558323428	4.81732442002013	7.05109643133858	5.34238904414636	3.08704789086267	4.64077548295446	7.09009991502602	5.33205140572547	2.88340503818508	4.68858143383391	7.03796073135275	5.16713120346012	3.17117887000176	4.59951826362741	6.88052900748237	5.30407384740371	2.95087725297089	4.44291593907247	6.98659585599594	5.35436065552064	3.20676901820688	4.79893582112381	7.12567256030078	5.2194264990556	3.01563401152559	4.74377563801208	7.25718096574353	5.20053699645192	2.836885042799	4.6207242290666	6.9752441420587	5.34382782366179	3.16891992939597	4.63979767475389	6.7277628520261	5.51497969701271	3.20049669314486	4.74957423636943	6.84907943145654	4.99993380986653	3.17779128416045	4.94122339692526	6.57487045900529	5.1804170580782	3.09676401691731	4.68467648068835	7.01771982667838	5.4065390355609	3.36243137956428	4.95744033553993	6.59833232856881	5.1144300681907	3.17731562659335	4.77905485789383	7.00133806962617	5.16341941463305	2.93003543811592	4.72927776047044	6.99951441770078	5.17949853336962	2.94027209781498	4.78004091674835	6.92497569301242	5.12316649001941	3.02416919066559
Gene9	3.64421057800092	3.41307083963884	6.04665979713972	6.74770755081941	4.0378168606753	3.29008855827317	6.28827224056424	6.49515001892761	3.74906625126916	3.20297007986042	5.92001117362002	6.34580622212955	3.67226849477521	3.54241128213839	5.9774474648298	6.58847797301193	3.99465658651092	3.09416998936936	6.0886966659126	6.61560215242495	3.54223074453775	3.62570392241995	6.43331446864926	6.68830089579896	3.85213885031075	3.23382999364424	6.33863529146219	6.71899403165452	4.00511939108544	3.23516866317593	6.141556314891	6.50088466672475	3.92686195646672	3.38975430670287	6.19293209553121	6.6139646394283	4.01756313543352	3.33614621641614	6.22491992055522	6.58077405006558	3.99518414363424	3.54539126551976	6.17774390421531	6.62514456198478	3.84163022783908	3.3662818403688	6.09186660499792	6.57511483240671	3.73861857490674	3.41231279233894	6.34083339313028	6.36486927136684	3.57425578981598	3.44949744712961	6.1487760122643	6.9105204050205	3.85091162565372	3.66951436891012	6.03239172427015	6.37080515346629	3.8420929141359	3.18097475123391	6.48566472621573	6.4307720841208	3.69717286625637	3.2645745654927	6.21671004652793	6.63398825460309	3.59753275338413	3.45654272367707	6.15422181355786	6.7646297936253	3.81413271737582	3.14061108448505	6.12708696547388	6.393385683734	3.8353483277851	3.31846149617505	6.32197954745259	6.62748727299708
Gene10	6.99663351249019	5.56163184619111	2.95537735151248	4.32424220587864	7.06911574571807	5.32596093026398	2.7610683845531	4.24294974549547	6.73061085253952	5.41383113171059	3.10244081705442	4.30906613958479	7.04415572437091	5.52342140121931	2.98149862587984	4.63529362776816	6.78184231240437	5.45730199349524	3.24004496026352	4.46747652367274	7.07606282796685	5.61869534581515	3.18318780199216	4.33747531431194	6.8235588154781	5.41585743783164	3.33443645710389	4.41137884200103	7.05866941915166	5.48736962429805	2.94358453680984	4.59182767881096	6.9868093016858	5.44616139219834	2.84225058289954	4.60465331208608	7.13017527047518	5.73720461425052	3.11920536665049	4.37789903354625	6.83003434232564	5.6529291233681	3.10126975791089	4.3814310854059	7.36816401566997	5.74179884190525	3.22095674727928	4.39475152434247	6.84381571677897	5.63259331667818	3.1276794687972	4.15760499800207	7.01896656209377	5.59180800202368	3.20384637479752	4.41611078316313	6.80920463615201	5.46310075231748	2.91114082396145	4.3257458011851	7.21064389963108	5.40137969616921	3.0655466871534	4.46419301371216	7.09513117941355	5.4716866119773	3.09591467284862	4.43627631912618	6.76088380394098	5.78629887965624	2.95973982111434	4.27063621162795	7.01908569361558	5.25119992418125	2.88179076218995	4.3123545893399	7.00626034691959	5.61712432152215	2.98762177034272	4.36196620880726
