	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40	Sample41	Sample42	Sample43	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample75	Sample76	Sample77	Sample78	Sample79	Sample80
Gene1	3.69466812067797	6.48949672604031	6.24549418580428	3.29517574938452	3.75353519323032	6.42475448399361	6.35985479862424	3.62659963584879	3.57971592383263	6.53576267667299	6.32828621414638	3.35158319234183	3.61832003352681	6.44041584967413	5.90195535844195	3.17433355463872	3.88315452918869	6.46577820174874	6.35690826336472	3.4281103006125	3.44931711545319	6.46458582133384	6.54039091643032	3.35017640686332	3.69153104805507	6.56956417296388	6.29388029475603	3.59336196118923	3.49580341686178	6.2913376808902	6.27622688116228	3.4865863286224	3.76414400895467	6.68903573373638	6.18938175093086	3.67500146525837	3.60912881550448	6.52069542296947	6.24920031672203	3.79993254081602	3.64185113572185	6.56846763912633	6.41193149569279	3.61198492821924	3.57609216517889	6.36629984538422	6.43965721650455	3.58900644700412	3.5579028034316	6.08938241278797	6.43346517431734	3.24705790815989	3.70920626827625	6.25076179584874	6.43010795038679	3.2469640767311	3.7177927679002	6.41865759467166	6.4643122579558	3.46149177394067	3.76085175953393	6.3789674894207	6.24603358010805	3.71998545924996	3.90194575389699	6.59895244338856	6.24466727958122	3.82458045099898	3.74229037036324	6.53094976358295	6.2185137446056	3.39315141397115	3.49654875047354	6.40123214039637	6.2096754346741	3.38306208213771	3.71539680477756	6.39906573288613	6.46592760013831	3.41547059899114
Gene2	3.4872268808922	6.21126496205166	6.55736746928894	4.10496919801381	3.51969660525043	6.14799073897041	6.80032395880143	3.94015299634831	3.28690104707684	5.66977894205373	6.81007885738615	4.11129558399694	3.14867291060209	5.9591005250354	6.75261255504479	4.04444718782478	3.51227398164607	5.96698404847342	6.99821575050774	4.35496095149481	3.32035474610551	6.16323988023302	6.80716917880433	3.66535884361954	3.42563846297335	5.82579123827487	6.61168232079311	3.95988452292238	3.42770901693787	5.79334710873107	6.99414158470568	3.77612727710065	3.22353853301187	6.19851963279861	6.86953580238922	4.14905584223042	3.5778619831469	6.21480348988973	6.6191363068031	3.99766340694781	3.22020556229164	6.11379799579066	6.55568080811205	3.98006417706886	3.14470552203784	5.97222479711255	6.47089790734772	3.81281827431206	3.41653567570589	5.83108057613078	6.78617128778953	3.65220297230869	3.41494194437325	6.02044660802854	6.64057809205262	4.16805616556539	3.45760176508509	5.93130575940864	6.56839053754179	4.00968439121143	3.16122816072836	6.0573967943295	6.84534237199229	3.93472543256691	3.26690989352426	6.19488367663697	6.73349773338829	3.69818143263291	3.19094672108951	6.13446329333529	6.51806986799131	3.840402969044	3.00447694149616	6.14063195226661	6.91201543123179	3.92884841635672	3.38845773027167	5.99199736066163	6.76801261809543	3.78639463842012
Gene3	4.32109906971358	7.17910774053084	5.46019383006431	3.05929433715723	4.31339354135199	6.87560438744896	5.67366432292041	2.93716029194426	4.60050336729535	6.57687141295179	5.55605007613025	2.90053292550801	4.30501638710285	6.6951213728377	5.63865905888314	3.04108001764646	4.2992354890925	6.87460575547581	5.62095631452098	2.84054628725965	4.23738569817706	6.94527237217097	5.6392773917596	3.23056573470016	4.55421657621848	6.9384397282411	5.54234580953485	3.13863389720793	4.28015206696448	6.90049819015253	5.41742060426532	2.91724793031196	4.28514044230006	7.01737272598055	5.6573321319277	3.36643331871835	4.41278035021861	7.1640285633402	5.45173017747752	2.94234597636109	4.48853748231036	7.12050421388573	5.53206332973999	3.16139366165196	4.53083398589198	6.78582508474476	5.54197509483766	3.25930950548204	4.47358344059587	6.99555058603453	5.32146595984474	3.20830109453918	4.5944186500973	6.95702852592766	5.37024068385219	3.05818801869751	4.69147671498615	6.88199387736319	5.48827104722863	2.82854757726548	4.41466554885544	7.06026798712531	5.57945734334706	3.28351240303465	4.29820383241432	6.96688438236283	5.56440648607409	2.81787187728625	4.510960520559	6.84016217852365	5.38223611935536	2.80772857461137	4.18853177461963	6.80323665388907	5.59428154954991	2.96526848987132	4.4067041187317	6.9766865310879	5.61026479539087	3.20901724542388
Gene4	4.86970919943955	6.99164986608332	5.25621720470472	2.87493886692028	4.77652765613761	6.99580902028721	5.22770509828984	2.79567678012487	4.61169211225354	6.87109075909176	5.1874222358946	2.915528564115	4.92990172486055	7.00079208747703	5.27743880249389	2.95448169459561	4.79304043142649	6.88684698385435	5.31823084481398	3.36152820841184	4.70191822114713	6.99425523573106	4.98135412311024	2.91962472198445	4.72549003450414	7.34106999627206	5.12991599219154	2.86224967956789	4.6850922797493	6.98365136584487	5.31636729580795	3.15061409500158	4.89879358058164	7.02000775617425	5.18711414897206	3.09931495187448	4.66846392297396	6.95370845426668	5.25211074833335	2.93991641573733	4.93518262985533	6.98318024372967	5.23178828965198	3.13219643438731	5.05354408792397	7.06911700203929	5.24573335356043	2.6778939467384	4.86370957831664	7.04543353750377	5.23478935915528	3.27408253650557	4.92753996202939	6.70864170217833	4.98073204552845	3.11977440663485	4.85358805159872	6.88605376560912	5.46283763098738	3.03011909988747	4.59428560280138	6.77016964562481	5.21583552862647	2.90165147891237	4.79331377839654	6.98275882337585	4.95255916375267	3.05840818103708	4.61428281259673	6.86991123738514	4.7199336491575	2.69701329349367	4.76251384755248	7.01084766706559	4.97544790878618	3.16787753381922	4.88937252199078	7.08074451583736	5.13564883116033	2.99179434424104
Gene5	3.56690592079357	3.74699208764645	6.48916672979119	6.37724867950306	3.4977593483122	3.50064352103256	6.24982732327798	6.27797081099443	3.58130805357527	3.68779184233855	6.58234208124113	6.27256537390147	3.38140900026019	3.82669404793515	6.64248565321804	6.39460859931454	3.92077762521621	3.5204142330066	6.37900310100692	6.27903755109692	3.65881358245203	3.38268200412623	6.40041340800606	6.46729898700546	3.36041757666722	3.50437167953069	6.47340470466062	6.51246462469147	3.53420989922101	3.5650641908643	6.46095331372167	6.61216403949707	3.31183865137098	3.923359204345	6.61330516072854	6.47609742238832	3.43611845555744	3.55007444978584	6.4299173754998	6.46518190642051	3.33978520894641	3.53493778252747	6.5381213637627	6.40611549554808	3.66912672591077	3.76535539222022	6.49572610848107	6.5553752287048	3.55865402094997	3.55881534850696	6.27259632906296	6.49632545290656	3.694335022549	3.41987374500538	6.32775704384918	6.15651846874699	3.64701750046719	3.72571315324527	6.37019380980002	6.24838844013169	3.20648368860506	3.49104433878696	6.72206430306846	6.35820064265418	3.47088078471518	3.70498793994861	6.30588893433327	6.64302011124305	3.56294215848201	3.65304662825935	6.41058417539032	6.58227401091343	3.59906857447209	3.73232049515409	6.34256093832471	6.49028441568399	3.36498904190045	3.50735786604303	6.50013383091264	6.5458741489946
Gene6	4.13332683696558	3.43587296309676	5.86900767989173	6.63571431014494	4.19361868556036	3.19612385971292	5.96598344677017	6.66268254422952	4.13616276857653	2.85238509131525	6.09058163479049	6.92048731808355	3.86146040351883	3.25045824102495	6.01165025175683	6.57756359596637	4.08636146756202	3.08575884764552	5.8796533272125	6.7267125969645	4.14014814397952	3.36367939292914	5.81347252963581	6.88424794481517	4.09483421005583	3.23375893951508	6.07383696719633	6.66235637289152	4.09228532081162	3.06060622595169	6.13279443030432	6.73647302433063	4.27704517080521	3.56609258254325	6.04571675065766	6.76997837051107	3.96471927437565	3.1896803727744	5.90795055399765	6.80108194950082	4.13636151954488	3.08994886062215	5.91019431469836	6.77141041629955	4.02272520920363	3.28648418910539	5.84695445477588	6.82803413182161	4.13377702483913	3.23606232809593	5.79051563958112	6.94998687335857	4.11026237632937	3.27201748815306	5.77288284979323	6.8144159830925	3.97100666703439	3.13569615100679	6.2520690147339	6.91706661774019	4.11874439337905	3.17234162450646	5.77212687735486	6.78297683746672	3.90807004661531	3.26154035545979	5.93354246136805	6.50978320899425	4.03225611409278	3.01498645340949	5.97161569194545	6.84053602031002	4.08310997694036	3.1831941055845	5.58979608124516	6.61916168242912	4.07392738229401	3.37359075790906	5.90659393832373	6.53762124414899
Gene7	6.92124229147618	5.70109721736838	3.32933448154628	4.07731803230096	6.80775825612767	5.86998858249428	3.04330290188586	3.82038763257114	6.64333666522107	6.03410467064051	3.41698134441778	3.75168999827723	6.60333235489803	5.80108518577549	3.17890616216208	3.98349038020604	6.86446725231683	6.12455390947986	3.31768697891309	3.95411192903188	6.90576194712654	5.85774457656718	3.46734077304895	4.09761539963925	6.45262582838214	5.77036084730885	2.99243394562812	4.01582983411623	6.69220095426095	5.76270970188322	3.0101891884398	4.0351051637094	6.73580805470443	5.60763672566191	3.30323503657376	4.11939964344651	6.76819269428687	6.06417504637305	3.20846687422409	4.30033392105794	6.95722366311316	6.16553088559489	3.50571544874995	4.00079179912609	7.04332033635142	6.00109369567019	3.33445526724649	3.9963052069146	6.75651313571538	5.91251805157899	3.29027473917966	3.93495913997779	7.18516679426857	6.26674000867844	3.10039849501551	4.09823468961468	6.91524761681338	5.7133814651897	3.30361792964835	4.21341907675419	6.58484048788615	5.63894917085043	3.20242639393617	3.9335403645003	6.51252060042534	5.97007759039789	3.17800634118772	4.30022271937431	6.51316393115294	5.96240487163568	3.06782256504191	3.9953083437523	6.89596312646524	5.96185809130217	3.272901309816	4.14540848733753	6.75865753156263	5.87250710145355	3.66170518051805	3.8347888828663
Gene8	6.49191998199158	3.46685742021187	3.5302048334038	6.70449981712272	6.37869144679509	3.25998628006392	3.53921445035709	6.5372072532132	6.4094046532121	3.48590910766329	3.59597612963702	6.33945655109423	6.56465741240722	3.49236617097356	3.6924560804013	6.39541572863541	6.34319665641566	3.67273270914366	3.55154750836237	6.32312060200391	6.27498398324524	3.56076621868996	3.52057980136828	6.52546798223342	6.6652525398653	3.67073411932392	3.64681100556339	6.78674780345503	6.50142452305017	3.6135120212197	3.59523097973073	6.32756432257833	6.52001488111811	3.65712511049921	3.53651291020053	6.42400101887084	6.44943065561934	3.51141142436605	3.656329924224	6.10176070893935	6.51085292359284	3.78135419411124	3.74390998734329	6.73884627580396	6.35947399317459	3.34790373097005	3.44095380510524	6.51065626552849	6.16024249408412	3.35435894499835	3.34721698316632	6.47815395260253	6.41911280691773	3.70797061775161	3.74806069753327	6.56186892372578	6.22079970173015	3.57951090607889	3.9058959740795	6.36988525540545	6.18416892344933	3.47473938261947	3.63289494980266	6.38520124462262	6.45423278700865	3.44995473956452	3.54957357562901	6.58542061155903	6.35596174270784	3.61435742601881	3.43869450089495	6.63170123903454	6.47719710810832	3.42642884443207	3.96106514770446	6.68539987159121	6.36397376365507	3.42515163592924	3.63270904607194	6.62992873876235
Gene9	6.09899214089218	6.54242398175107	3.97179560996224	3.51723656824641	6.34407987597617	6.61167906572794	3.81238867757094	3.33457910549095	6.17319047803453	6.46992675290439	3.75448055333869	3.60628885714521	6.0685384696577	6.66473423256922	3.52368256146605	3.43066696839043	6.22863518074693	6.69298697524494	3.73902269644812	3.38578552504847	6.18831865067321	6.48885288227279	4.09507856901668	3.91424374315595	6.25452933729293	6.53571952454959	3.76477558432408	3.46549309218696	6.27931066497907	6.39835326777573	3.82316646459428	3.40377669211715	5.91305494872836	6.44844792726257	3.70515864971779	3.5873251406091	6.24292820281664	6.31393515722895	3.72067597587216	3.5095004696725	6.19664046706177	6.47187061872141	3.99673672948824	3.78727119764737	5.98649065518061	6.52669391101312	3.74425146288298	3.31571214003043	6.22023313957337	6.56882262318623	3.57737283356195	3.2770732951103	6.21933529872008	6.41017552433394	3.84591563268819	3.40121737948561	6.25416290308242	6.43252563259482	3.77191547845046	3.48272341189337	6.60300233136684	6.69408337614034	3.89823108489687	3.38879121793313	6.18578173399957	6.53116782167139	3.86237216385539	3.7019087902992	6.46169300996385	6.50071028102098	3.55726042954631	3.5158747545441	6.32875329805574	6.7110720588961	3.7634765206904	3.23022061754427	6.35022216273661	6.69281410843628	3.95148125798682	3.62752741412587
Gene10	3.0719488361997	5.64106874810625	7.14843714223477	4.54107963136076	2.8922995540296	5.57046558656351	6.88448832794277	4.36222425782364	3.3306496066161	5.51092916319678	6.87532349036089	4.43230718325624	3.01722151040996	5.49460336291133	7.03861344999315	4.53322082792437	3.19437165360313	5.64563483418876	6.90037184534632	4.56576518165153	2.93694459449368	5.7126321859749	6.85626746276143	4.41998763274599	2.9311427232038	5.69658664083312	7.01262984495127	4.42647162682102	3.26128368364078	5.66087704906104	6.7026483243646	4.51489080338208	2.79699282154975	5.46753726502748	6.75008804893198	4.23950122908237	3.03170684283893	5.56337829342134	6.94377363452113	4.45431461124618	3.19236151208009	5.31649868054469	6.71661030031508	4.37758978298112	2.91727056065323	5.38910982717106	6.85650874157688	4.13947250629817	2.63711126389363	5.37860562056034	6.87934834284159	4.25890893590384	2.85472032221671	5.72363486856002	7.18572212908072	4.32207868510118	3.10261832126998	5.60614654689077	6.69781295959396	4.22244717183835	3.35753182525855	5.65726680412915	7.06045064522465	4.19528201228328	3.34632408075561	5.62318028744849	6.65228633726898	4.37503582135132	3.02458717764725	5.63123090737344	6.81636518107802	4.42341290884082	3.14630315623455	5.57420376895126	7.14599250654596	4.76156309793313	3.07263520145701	5.60636132108253	6.96646965065622	4.45543533450102
