libraryID	subjectID	hour
Sample1	1	0
Sample2	1	2
Sample3	1	4
Sample4	1	6
Sample5	1	8
Sample6	1	10
Sample7	1	12
Sample8	1	14
Sample9	1	16
Sample10	1	18
Sample11	1	20
Sample12	1	22
Sample13	2	0
Sample14	2	2
Sample15	2	4
Sample16	2	6
Sample17	2	8
Sample18	2	10
Sample19	2	12
Sample20	2	14
Sample21	2	16
Sample22	2	18
Sample23	2	20
Sample24	2	22
Sample25	3	0
Sample26	3	2
Sample27	3	4
Sample28	3	6
Sample29	3	8
Sample30	3	10
Sample31	3	12
Sample32	3	14
Sample33	3	16
Sample34	3	18
Sample35	3	20
Sample36	3	22
Sample37	4	0
Sample38	4	2
Sample39	4	4
Sample40	4	6
Sample41	4	8
Sample42	4	10
Sample43	4	12
Sample44	4	14
Sample45	4	16
Sample46	4	18
Sample47	4	20
Sample48	4	22
Sample49	5	0
Sample50	5	2
Sample51	5	4
Sample52	5	6
Sample53	5	8
Sample54	5	10
Sample55	5	12
Sample56	5	14
Sample57	5	16
Sample58	5	18
Sample59	5	20
Sample60	5	22
Sample61	6	0
Sample62	6	2
Sample63	6	4
Sample64	6	6
Sample65	6	8
Sample66	6	10
Sample67	6	12
Sample68	6	14
Sample69	6	16
Sample70	6	18
Sample71	6	20
Sample72	6	22
Sample73	7	0
Sample74	7	2
Sample75	7	4
Sample76	7	6
Sample77	7	8
Sample78	7	10
Sample79	7	12
Sample80	7	14
Sample81	7	16
Sample82	7	18
Sample83	7	20
Sample84	7	22
Sample85	8	0
Sample86	8	2
Sample87	8	4
Sample88	8	6
Sample89	8	8
Sample90	8	10
Sample91	8	12
Sample92	8	14
Sample93	8	16
Sample94	8	18
Sample95	8	20
Sample96	8	22
Sample97	9	0
Sample98	9	2
Sample99	9	4
Sample100	9	6
Sample101	9	8
Sample102	9	10
Sample103	9	12
Sample104	9	14
Sample105	9	16
Sample106	9	18
Sample107	9	20
Sample108	9	22
Sample109	10	0
Sample110	10	2
Sample111	10	4
Sample112	10	6
Sample113	10	8
Sample114	10	10
Sample115	10	12
Sample116	10	14
Sample117	10	16
Sample118	10	18
Sample119	10	20
Sample120	10	22
Sample121	11	0
Sample122	11	2
Sample123	11	4
Sample124	11	6
Sample125	11	8
Sample126	11	10
Sample127	11	12
Sample128	11	14
Sample129	11	16
Sample130	11	18
Sample131	11	20
Sample132	11	22
Sample133	12	0
Sample134	12	2
Sample135	12	4
Sample136	12	6
Sample137	12	8
Sample138	12	10
Sample139	12	12
Sample140	12	14
Sample141	12	16
Sample142	12	18
Sample143	12	20
Sample144	12	22
Sample145	13	0
Sample146	13	2
Sample147	13	4
Sample148	13	6
Sample149	13	8
Sample150	13	10
Sample151	13	12
Sample152	13	14
Sample153	13	16
Sample154	13	18
Sample155	13	20
Sample156	13	22
Sample157	14	0
Sample158	14	2
Sample159	14	4
Sample160	14	6
Sample161	14	8
Sample162	14	10
Sample163	14	12
Sample164	14	14
Sample165	14	16
Sample166	14	18
Sample167	14	20
Sample168	14	22
Sample169	15	0
Sample170	15	2
Sample171	15	4
Sample172	15	6
Sample173	15	8
Sample174	15	10
Sample175	15	12
Sample176	15	14
Sample177	15	16
Sample178	15	18
Sample179	15	20
Sample180	15	22
Sample181	16	0
Sample182	16	2
Sample183	16	4
Sample184	16	6
Sample185	16	8
Sample186	16	10
Sample187	16	12
Sample188	16	14
Sample189	16	16
Sample190	16	18
Sample191	16	20
Sample192	16	22
Sample193	17	0
Sample194	17	2
Sample195	17	4
Sample196	17	6
Sample197	17	8
Sample198	17	10
Sample199	17	12
Sample200	17	14
Sample201	17	16
Sample202	17	18
Sample203	17	20
Sample204	17	22
Sample205	18	0
Sample206	18	2
Sample207	18	4
Sample208	18	6
Sample209	18	8
Sample210	18	10
Sample211	18	12
Sample212	18	14
Sample213	18	16
Sample214	18	18
Sample215	18	20
Sample216	18	22
Sample217	19	0
Sample218	19	2
Sample219	19	4
Sample220	19	6
Sample221	19	8
Sample222	19	10
Sample223	19	12
Sample224	19	14
Sample225	19	16
Sample226	19	18
Sample227	19	20
Sample228	19	22
Sample229	20	0
Sample230	20	2
Sample231	20	4
Sample232	20	6
Sample233	20	8
Sample234	20	10
Sample235	20	12
Sample236	20	14
Sample237	20	16
Sample238	20	18
Sample239	20	20
Sample240	20	22
