CycID	Sample5	Sample6	Sample7	Sample8
1	3.75353519323032	6.42475448399361	6.35985479862424	3.62659963584879
2	3.51969660525043	6.14799073897041	6.80032395880143	3.94015299634831
3	4.31339354135199	6.87560438744896	5.67366432292041	2.93716029194426
4	4.77652765613761	6.99580902028721	5.22770509828984	2.79567678012487
5	3.4977593483122	3.50064352103256	6.24982732327798	6.27797081099443
6	4.19361868556036	3.19612385971292	5.96598344677017	6.66268254422952
7	6.80775825612767	5.86998858249428	3.04330290188586	3.82038763257114
8	6.37869144679509	3.25998628006392	3.53921445035709	6.5372072532132
9	6.34407987597617	6.61167906572794	3.81238867757094	3.33457910549095
10	2.8922995540296	5.57046558656351	6.88448832794277	4.36222425782364
11	4.4727906490712	6.93884771745434	5.67272332237198	3.02388408020353
12	6.4482432248793	3.97480705257133	3.30477223941708	5.54495613093015
13	7.05297808911958	4.94658675922422	3.03875435249477	5.43078796110712
14	5.01370337543345	3.1418199066137	5.05897108372822	7.12387150745647
15	6.85169173169878	4.53225486613578	3.08735820709235	5.75080960614084
16	3.10595914277919	4.84413765453588	6.91045162786334	5.13337798264185
17	4.02079159561705	6.46855724277992	6.25871070329428	3.10380926221964
18	4.16036448227921	6.88661188975761	6.0381456229658	3.33039520647044
19	6.82352974700344	5.69788432374462	3.06007694418578	4.46862856345948
20	2.93038223571457	4.70701814235968	6.95595858502781	5.53116836217735
21	6.06564136820381	3.50330470787872	3.89281083408604	6.63995311579283
22	6.9618425575995	6.15397699723938	3.45938470482257	3.8768734357167
23	6.81902828521424	4.36019227940872	3.06419404537695	5.17830279947148
24	6.79749953966933	4.00273249777975	3.1015789218935	5.93813579958735
25	2.97800261660432	4.09784604192749	6.71034178890078	5.69854557919194
26	5.43322213371292	3.03644152920871	4.7723618174178	6.85952707936357
27	3.00865099236773	4.70944577948318	6.86596402844697	5.38623883665548
28	3.07143387050379	4.22345089927629	6.89574370941696	5.77829699255882
29	5.7975540554676	6.55723069266792	4.33325460313603	2.86362473417464
30	4.81736424015659	7.27141875544385	4.8266280512982	3.16148920120943
31	7.09105287836894	5.0821436268532	3.33767361940767	4.82317960389911
32	4.2504945145474	6.89500375160662	5.63929323418307	3.38846829070302
33	5.13996277566991	6.99774286480989	4.77132779271417	3.14593227542237
34	3.72557936372558	6.51891546061685	6.38918747985726	3.61512936006106
35	2.91038157178839	4.68118759534576	6.93998253230823	5.56527765884009
36	4.02455020074992	3.39591200091951	6.22049881220423	6.64595406287695
37	6.02568881891222	3.31110338725793	4.10435084256399	7.03717518754522
38	5.05747920819596	7.08381829503324	4.94861693988197	2.75735296727444
39	3.42630950356873	6.00056111687209	6.4267781297	3.9222114288991
40	3.17839279846512	5.02141497660804	6.85129632350657	5.31428855663513
