CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP	Sample109	Sample110	Sample111	Sample112	Sample113	Sample114	Sample115	Sample116	Sample117	Sample118	Sample119	Sample120
Gene1	0.00222952986782365	0.00369127461560207	24	9.29390764564533	1.22883379929334	4.96396567064634	1.39144737278146	0.280309628450813	4.34366872563088	5.55882274471699	6.30082676464642	6.92857569742869	6.86637615540403	6.14012846909394	5.52494253132724	4.82511787857152	3.76157107525722	3.36701129618774	2.79925862300168	3.15128808648972
Gene2	0.0940123444293866	0.103919319560855	24	18.5251776660712	0.81354153224643	4.93985277991914	1.73719184105131	0.351668747723235	4.58636432120049	3.80445617765325	3.18746494560683	2.88412758581962	3.25155059487847	4.19184008101079	4.99449840748689	6.18651924254284	6.82021032331447	7.03133094934344	6.67683902045944	5.66303170971316
Gene3	0.0513681109982852	0.0616170863633969	24	7.49739259902092	0.945747692299832	5.00849822953652	1.56231220130136	0.311932265861244	4.87065450337693	5.80980158112879	6.69149344946546	7.06291276423819	6.93636764829896	6.02514912285772	4.91455244384756	4.11818569367227	3.23396011213103	3.04841235086199	3.38072570570699	4.00976337885233
Gene4	0.00012741001417238	0.000280022009170066	24	12.1506630036405	1.57434856282163	4.89742624744562	1.66622697575248	0.34022502669061	3.29314453045999	2.79676583413195	3.42289828187142	4.03083771090315	5.16758186829738	6.16719959859019	6.56126404232296	6.75261687503643	6.39555526852026	5.86712465089834	4.60698224733236	3.70714406098298
Gene5	0.000327600671815365	0.000656514372375481	24	12.287122553584	1.61686698404777	5.06639015204582	1.73571087384332	0.342593211685926	3.42411088101156	3.08221911622599	3.3815768522682	4.07688957764597	5.24191294907168	6.07146398292445	6.79491545917439	7.5100624866005	6.72827591285818	5.6662150733408	4.87304097147388	3.94599856195424
Gene6	2.2608379661726e-05	6.11588268576898e-05	24	11.9124719276249	1.69713548692159	5.08231570495967	1.75881519937003	0.346065711276782	3.30514962823434	3.07131183291925	3.77784393567838	4.45949183103967	5.46140181496463	6.50900323733998	6.80836771616497	7.03865332634339	6.64277460247822	5.46296833185438	4.77763409106143	3.67318811143741
Gene7	0.0237536898506832	0.031023539204201	24	13.7826659652649	0.988570334513035	5.0528909171806	1.36848595725323	0.270832277934236	3.79553597107423	3.13113801859236	2.85070136405085	3.48954898593561	4.50764660813243	5.16813417543136	6.27026314183836	6.83194720895388	7.05651301819378	6.51991292699515	6.07772026907713	4.93562931789199
Gene8	5.77802628091151e-05	0.000140584581044076	24	9.99085773572315	1.63360321723359	5.00224333947481	1.70648857570671	0.341144654487336	3.91676101145905	4.96691797931266	5.58973207057021	6.49577680184696	7.0284087099754	6.7963648799876	6.40604434939179	5.21165462122593	4.2877360792486	3.11046127579027	3.15053616474073	3.06652613014855
Gene9	1.19759757666316e-11	2.50923091828424e-09	24	10.9629214331593	2.08173479256323	4.97345713740095	2.08185766183269	0.418593667205229	2.78798131060676	3.27145203755525	4.54360158625834	5.5530423977266	6.32976597815415	6.98477966341852	6.94020809015747	6.51331553108415	5.49506311004822	4.51813763956707	3.72600851217812	3.01812979205677
Gene10	0.0146613767469199	0.0201024361246617	24	13.5373742058179	1.13384643251201	4.98025019862301	1.48809938237973	0.298800125100377	3.83595225504528	3.09712002286387	3.06597117576336	3.53694614654724	4.28054255571303	5.39882939872656	6.27092640732417	6.86457199983658	7.05417059412891	6.43054089832954	5.42718141113127	4.50024951806633
Gene11	0.0106661626137358	0.0151293086719657	24	13.3158703053219	1.09984872691758	5.028751003324	1.38064266055631	0.274549815579198	3.65514028040091	3.23147781995229	3.11222122907887	3.44614899026877	4.51039163441187	5.56827698517508	6.22000268183056	6.93716938002955	6.99961778977203	6.47445301230735	5.32338598500059	4.86672625166007
Gene12	1.24231069875691e-10	6.32803184852372e-09	24	11.0486292808847	2.04201190639332	5.08443134228986	2.04221922324066	0.401661284371069	3.03856860681609	3.39560281509693	4.57759837124318	5.63218908768408	6.39381902462275	6.84811864912793	7.27425686914252	6.47495307656416	5.75039340547566	4.74697959837269	3.7091270891369	3.17156951419549
Gene13	8.71400410729084e-06	2.62733792179623e-05	24	22.1831119304994	1.77029101759472	5.01569861244541	1.82168682313707	0.363197026754546	6.33659133777091	5.72702824017081	4.4662121108759	3.65031949919845	3.12132732581215	3.03271932452321	3.48792346022878	4.57584964661108	5.62950372689449	6.31149811870688	7.01080322557808	6.83860733297413
