probe	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	fdr_BH
Gene1	0	default	1	24.0	1.1902918520561672	8.542488014770374	5.025699772616778	0.6192769269693811	0.5346717996292435	0.2972013966165257	0.01296407060376048	0.0184148730167
Gene2	0	default	1	24.0	1.6599219233739113	23.997412131638768	4.9202762640218545	0.8911171567330294	0.8669209693403692	0.2859986406696293	4.637858977629694e-05	0.000115753551854
Gene3	0	default	1	24.0	2.0420778016367724	22.888305239361014	5.003229508622762	0.9937597663723955	0.9923730477884833	0.29419719289612595	1.1978540381818448e-10	5.00507505811e-09
Gene4	0	default	1	24.0	0.7497547399405333	4.4309851967341345	4.889466781658961	0.3753907680420261	0.2365887164958096	0.28227659115333553	0.12029229077055181	0.126712384941
Gene5	0	default	1	24.0	1.1879426850159858	13.343966192909917	4.912009599720916	0.6351558861666895	0.5540794164259538	0.307086801874511	0.010702446068939997	0.0155182881618
Gene6	0	default	1	24.0	1.0002738025215827	20.296038566006754	5.070976281784002	0.5699994516534879	0.47444377424315176	0.2783162820887619	0.022418706033840108	0.0301326694003
Gene7	0	default	1	24.0	2.008874196681181	11.163470848975535	4.988750264961433	0.993309500934709	0.9918227233646444	0.2880267564464865	1.638941204973321e-10	5.46313734991e-09
Gene8	0	default	1	24.0	0.7082570081424341	15.564925753606211	4.980195637350071	0.40112618350643603	0.2680431131745329	0.26765911445129087	0.09954259659105846	0.109910853799
Gene9	0	default	1	24.0	1.833028870851279	23.611297904323614	5.0891945596901005	0.950756186555597	0.9398131169012852	0.2733854190220918	1.3049159757194673e-06	4.9933009275e-06
Gene10	0	default	1	24.0	0.7458216099522212	4.20697763164667	5.019960521940807	0.3741310313946903	0.2350490383712881	0.28448418354125715	0.12138789669843086	0.127107702216
Gene11	0	default	1	24.0	1.8268116766060107	23.788930572558005	4.946557383709613	0.9251885323996175	0.9085637618217547	0.2873169480202542	8.567552716498561e-06	2.61471598672e-05
Gene12	0	default	1	24.0	1.9729635293864223	10.409948749514284	4.9631028236550305	0.956903261631787	0.947326208661073	0.2941726131344083	7.161431048174904e-07	3.04310101197e-06
Gene13	0	default	1	24.0	2.0251504874309787	23.20085139986509	4.989234770583315	0.9880397486482035	0.985381915014471	0.2890965204472058	2.2378521258303863e-09	2.67497902136e-08
Gene14	0	default	1	24.0	0.8106024023981385	19.13781690151199	5.1020215857054	0.4492537428781198	0.32686568573992414	0.27439314693062894	0.06827818918772544	0.0803272813973
Gene15	0	default	1	24.0	0.7460755630551227	5.031832802105762	4.950806558939609	0.36271831801275745	0.22110016646003683	0.2816441459155572	0.1316714017107733	0.132155973614
Gene16	0	default	1	24.0	0.7944080560854255	16.084776363278174	4.980266456855095	0.38170101752894303	0.24430124364648587	0.29547001822975866	0.11491941142600659	0.122952294678
Gene17	0	default	1	24.0	1.172627499078204	13.039010350809521	4.9956606304253075	0.6870649595440914	0.6175238394427784	0.2857580769596999	0.005364680710597036	0.00838668167368
Gene18	0	default	1	24.0	1.8586482125500783	10.393995221570961	5.050004131677743	0.9552195499223999	0.9452683387940443	0.27538306356139486	8.50938246754751e-07	3.49700649351e-06
Gene19	0	default	1	24.0	1.930554915079447	10.405429651488323	4.989073845963408	0.9522415964165799	0.9416286178424865	0.2925321150839266	1.1369048144027616e-06	4.46428592043e-06
Gene20	0	default	1	24.0	1.1786009480591222	20.88303606295679	5.015794410309977	0.6790665669129051	0.607748026226884	0.27826285378319715	0.0060099011441652195	0.00926977040231
Gene21	0	default	1	24.0	1.9760610115118935	11.227163662236826	5.016193747010086	0.9901178893225344	0.9879218647275421	0.28230196401316804	9.48033540559834e-10	1.52908635574e-08
Gene22	0	default	1	24.0	1.83584665924468	22.438906074039636	5.013083792614388	0.9609618588176823	0.9522867163327228	0.29064340889735374	4.5888206778865737e-07	2.0826720172e-06
Gene23	0	default	1	24.0	1.756931028502717	11.725067888345409	5.030216861975947	0.9342771786584061	0.919672107249163	0.26564516646452396	4.783247941508861e-06	1.56485755993e-05
