libraryID	subjectID	hour
Sample1	1	0
Sample2	1	6
Sample3	1	12
Sample4	1	18
Sample5	1	24
Sample6	1	30
Sample7	1	36
Sample8	1	42
Sample9	2	0
Sample10	2	6
Sample11	2	12
Sample12	2	18
Sample13	2	24
Sample14	2	30
Sample15	2	36
Sample16	2	42
Sample17	3	0
Sample18	3	6
Sample19	3	12
Sample20	3	18
Sample21	3	24
Sample22	3	30
Sample23	3	36
Sample24	3	42
Sample25	4	0
Sample26	4	6
Sample27	4	12
Sample28	4	18
Sample29	4	24
Sample30	4	30
Sample31	4	36
Sample32	4	42
Sample33	5	0
Sample34	5	6
Sample35	5	12
Sample36	5	18
Sample37	5	24
Sample38	5	30
Sample39	5	36
Sample40	5	42
Sample41	6	0
Sample42	6	6
Sample43	6	12
Sample44	6	18
Sample45	6	24
Sample46	6	30
Sample47	6	36
Sample48	6	42
Sample49	7	0
Sample50	7	6
Sample51	7	12
Sample52	7	18
Sample53	7	24
Sample54	7	30
Sample55	7	36
Sample56	7	42
Sample57	8	0
Sample58	8	6
Sample59	8	12
Sample60	8	18
Sample61	8	24
Sample62	8	30
Sample63	8	36
Sample64	8	42
Sample65	9	0
Sample66	9	6
Sample67	9	12
Sample68	9	18
Sample69	9	24
Sample70	9	30
Sample71	9	36
Sample72	9	42
Sample73	10	0
Sample74	10	6
Sample75	10	12
Sample76	10	18
Sample77	10	24
Sample78	10	30
Sample79	10	36
Sample80	10	42
Sample81	11	0
Sample82	11	6
Sample83	11	12
Sample84	11	18
Sample85	11	24
Sample86	11	30
Sample87	11	36
Sample88	11	42
Sample89	12	0
Sample90	12	6
Sample91	12	12
Sample92	12	18
Sample93	12	24
Sample94	12	30
Sample95	12	36
Sample96	12	42
Sample97	13	0
Sample98	13	6
Sample99	13	12
Sample100	13	18
Sample101	13	24
Sample102	13	30
Sample103	13	36
Sample104	13	42
Sample105	14	0
Sample106	14	6
Sample107	14	12
Sample108	14	18
Sample109	14	24
Sample110	14	30
Sample111	14	36
Sample112	14	42
Sample113	15	0
Sample114	15	6
Sample115	15	12
Sample116	15	18
Sample117	15	24
Sample118	15	30
Sample119	15	36
Sample120	15	42
Sample121	16	0
Sample122	16	6
Sample123	16	12
Sample124	16	18
Sample125	16	24
Sample126	16	30
Sample127	16	36
Sample128	16	42
Sample129	17	0
Sample130	17	6
Sample131	17	12
Sample132	17	18
Sample133	17	24
Sample134	17	30
Sample135	17	36
Sample136	17	42
Sample137	18	0
Sample138	18	6
Sample139	18	12
Sample140	18	18
Sample141	18	24
Sample142	18	30
Sample143	18	36
Sample144	18	42
Sample145	19	0
Sample146	19	6
Sample147	19	12
Sample148	19	18
Sample149	19	24
Sample150	19	30
Sample151	19	36
Sample152	19	42
Sample153	20	0
Sample154	20	6
Sample155	20	12
Sample156	20	18
Sample157	20	24
Sample158	20	30
Sample159	20	36
Sample160	20	42
