Probes	0	2	4	6	8	10	12	14	16	18	20	22
Gene1	4.45129864821924	5.82148956832016	6.53526617891558	7.16523375760977	7.05227294979111	6.28995951166674	5.53788244980771	4.28789117379365	3.56264960892355	2.98922928134663	2.95500239280834	3.66022175019886
Gene2	6.83200678330651	6.93819259568436	6.24104243645937	5.73415265904832	4.64164576897056	3.63234201673252	3.22232607007327	2.80361463037358	3.42047797343761	4.08709877674612	5.4101999266803	6.08021553074973
Gene3	6.6622490731129	5.9688536503026	5.29751136941323	4.34637178522086	3.35571622296695	2.83756689232325	3.08593207909118	3.78669194396843	4.65875281753396	6.04631667772985	6.79169651990586	7.20109507190407
Gene4	5.45447732990388	6.29489027005676	6.92487930930234	6.54764686000369	6.3199914744358	5.29232839724667	4.30767355791165	3.36486541092899	2.93546119424289	3.07341219053173	3.64865326924406	4.50932211609909
Gene5	3.53817273944014	2.58546046406446	2.90855088375537	3.47416412601205	4.30571943756773	5.35443752696635	6.30610193217631	6.75352097960947	7.08201815685916	6.55564598812398	5.57910141291206	4.50122154916391
Gene6	5.23015658345956	4.28921335197319	3.61624051412997	2.92503153071399	3.12285538561691	4.18107369853084	4.82707697875925	5.67835803794794	6.67508543767486	6.81639884860084	7.13495136764392	6.35527364635676
Gene7	2.90015376080449	3.30795168823321	4.24506023373149	5.27664787934199	6.17135005632051	6.75660873007637	7.15863000234623	6.61532751739201	5.5943028944605	4.858206776234	3.80718538973266	3.17357825086375
Gene8	4.21286772444715	3.22971315678547	3.19930210808167	3.37266914383317	3.95925713107221	4.58660733616732	5.7811345994207	6.37331935988513	6.84158295586138	6.71000909240559	6.24713383613273	5.24875120410832
Gene9	7.11943886660045	6.79214877171373	6.22535870276769	5.36281247639142	4.33794141745223	3.45761709808752	3.43661712111596	3.15616534731676	3.85095267105747	4.64413316191852	5.97683679213685	6.71031228972261
Gene10	5.7909771852059	6.61259007785697	6.83244880686474	6.86368707116051	6.51010722314106	5.29700559600941	4.38526258227367	3.47447616288332	2.97291291651239	3.36359342877571	3.42633918233482	4.71012603027119
Gene11	6.92447028483946	6.63343879301743	6.41214740203863	5.13651523838139	4.32981483050085	3.68671366015713	2.9707993302929	3.0578671355424	3.46003253418016	4.45448744368155	5.63217007385131	6.66023187803215
Gene12	3.06149920118924	3.98763903390057	5.1010541305336	6.22132896911602	6.65340915035869	7.12481193904921	6.66469547967085	5.9600781196903	4.72212218258781	3.64471580637638	3.33603102054433	3.07984885084336
Gene13	6.67021820038768	6.82114087747633	5.68791181199613	4.58586266649542	3.67434899927328	3.02423321667574	3.11179017332568	3.41882315829269	4.22079777145828	5.30161541269132	6.38879685037794	6.96527810854929
Gene14	4.82635454424709	4.1572889613275	3.31455832370741	3.11384864611298	3.52617725349979	4.07174135158041	5.24465669049355	6.23095928114845	6.71208131056531	7.07610431635959	6.86376443943968	6.08672390998304
Gene15	5.50164507103324	6.15593889949171	6.89633264176838	6.93135893512536	6.26396059110941	5.33973758837941	4.81048272566962	3.40764068907469	2.90155624606385	3.0490027336367	3.72663270723363	4.42538987868932
Gene16	4.40005180433591	3.10360457844492	2.99527063209637	3.16690887288293	3.66255613960106	4.57424445186029	5.71586659378654	6.49973954760352	7.04210403536799	6.91984186846956	6.4114784460151	5.27153051179695
Gene17	3.55182002683927	2.83596253631146	2.95157456629627	3.65522669306165	4.60535952269347	5.75756071709363	6.27137876961607	6.71242844183237	6.88862001129092	6.50012653576862	5.63373396641922	4.58413577788074
Gene18	3.3399182163215	4.20104759426266	5.21746135452228	6.32757566460571	6.75155281950514	7.07019275287662	6.61996889156465	5.78423723074498	4.83307775006726	4.06947359570756	3.10534380893913	3.28019990101543
Gene19	3.43844964307007	4.08830202308449	5.18774718259869	6.05180284178221	6.89937293320745	7.36071758828557	6.63795454616683	5.60678837688957	4.61249169978282	3.83330866326072	3.12030058224332	3.03165007118916
Gene20	5.48550202867865	4.51161145663683	3.67024518174493	3.13575757564847	3.14230088017325	3.52166165169488	4.40477037145113	5.6703427506715	6.4322444455121	6.77385831775077	6.94646938944405	6.49476887431317
Gene21	2.87297334995108	3.57628815472143	4.20682768463942	5.15152810670308	6.20022548962063	6.90124757889066	6.88223284271984	6.63552890657795	5.9199360359063	4.81638772667733	3.90495227083561	3.12619681687771
Gene22	6.3296361248387	5.47955326727784	4.4328427600709	3.86890359408214	3.07228079523311	3.02383613343783	3.49039469158687	4.36860511090728	5.41786019337176	6.22634212834109	7.14039175348625	7.30635895873889
Gene23	3.40442298301363	3.32591877718684	3.8579534607796	4.68512858352717	5.65099019890412	6.39814256950315	7.07432422450795	6.74329966851368	6.44681490686224	5.11124445043868	4.08931091679663	3.57505160367767
Gene24	6.13354483670772	6.81575854436092	7.19891372879454	6.58197685274855	6.18136164265218	5.03311794543272	4.19654360828067	3.20312800894488	3.12150658238576	3.39244567443229	3.9397754640201	5.14298559893854
Gene25	6.87780652672534	6.86414641862797	6.45890681298978	5.29280042819611	4.64428886223019	3.4970093309861	3.22378287760543	3.22044080612146	3.43194237798445	4.39126956584123	5.40493238199725	6.68676895857088
Gene26	2.97419055069905	3.09492876528125	3.45038507181786	4.32043268634623	5.25879266402203	6.42808051139936	6.8349655738112	7.33572787614391	6.5023655692203	6.01648784286407	4.77257364351671	3.89991065277741
Gene27	4.32283669480283	3.53016133081235	2.97914230040378	2.9341815758043	3.49838381315651	5.03236221714058	5.74475955916659	6.52788296242269	6.80618614692324	6.99058737631182	6.26264049068437	5.55576869871921
Gene28	6.36650913308277	6.85591003619707	6.90949938797356	6.44760604623559	5.8562742202786	4.73982860402248	3.83139442492724	3.0656277223012	3.12596542702622	3.7181350367929	4.21072735291276	5.11230062063709
Gene29	3.30992927857195	3.82897258337276	4.4998332113062	5.48498209677217	6.2122619363301	7.02226321550894	6.97183695355135	6.5313538715862	5.57220736951008	4.42298519580037	3.6297175294551	2.80536188320448
Gene30	3.84208654476988	4.95363381588273	5.95867220492651	6.8082450003669	6.85127655512898	6.92520045872798	6.16336217801079	5.06640545453666	4.10311774768164	3.48935632310467	2.86095991515492	3.33072468965864
Gene31	5.74247940289067	4.48976650809777	3.9363080915195	3.17484969472361	3.2888997325127	3.22387457008323	4.26363100705948	5.30704690455292	6.31088912274925	6.65493825278036	7.05408064954041	6.56201946759738
Gene32	3.06276212902621	3.59811086658181	4.20250670199282	5.113141487087	6.1624660452823	6.89137279344133	7.01587387994364	6.41710459749927	5.82387381807361	4.87115048572822	3.7804217322393	3.16256892945141
Gene33	5.35947024561427	4.26595277001631	3.36302492219118	2.85593986155637	3.00328175992271	3.89430947999505	4.48133145705477	5.77858125329864	6.63890719079329	6.84024899789526	6.85152194742375	6.3661738006757
Gene34	6.98328220618198	6.35949234440456	5.28985243408439	4.1298872228892	3.38855587416808	2.84858239076968	3.3962386213701	3.90887299514567	4.73096979212138	5.89714816060267	6.31003615469595	6.92884665277593
Gene35	3.1176735906608	3.7515324724942	4.43789464888978	5.69471482995734	6.3964179291676	6.98492199226064	7.11137509292761	6.28237289958145	5.45611510221319	4.55388918313078	3.6914481649101	3.12296655638619
Gene36	3.17417959177204	3.79747865609124	4.94234145755175	5.90199428592858	6.71143946926438	6.86823998257461	6.83543435692659	5.67322663029005	4.93572069527413	3.92533473485061	3.22997408708065	3.04623870635263
Gene37	3.46731996501778	3.98226911032324	5.48513670934004	5.99498331724333	6.87948835087252	7.07581305701076	6.56772913045223	5.36021734771297	4.84898199583739	3.88754727727478	2.8345152950535	3.14941262174939
Gene38	7.04530112760075	6.83130549450035	6.5033199470106	5.47131284041438	4.52956476017766	3.69039309906338	2.89757720555581	3.12639951699876	3.97085120741677	4.39898469176073	5.36916725290692	6.49569900139056
Gene39	3.4916708349873	4.56331141500916	5.69177727360456	6.58564471649322	7.07489939598727	6.78793170167061	6.27264392038083	5.45922130233946	4.25830880142828	3.67532152347908	2.85679173274304	3.1079013009326
Gene40	3.86421224181505	3.31992190907898	3.17723819443305	3.28734974084394	3.84869444960322	5.10206220532501	6.19446376749426	7.00169399545842	7.0958356784572	6.55842108298485	5.4945060889712	4.84473421528614
