CycID	Sample169	Sample170	Sample171	Sample172	Sample173	Sample174	Sample175	Sample176	Sample177	Sample178	Sample179	Sample180
1	4.77101299573963	5.74227562876826	6.20450418720018	7.00607895266751	7.07215634310452	6.20485574308668	5.44769351819785	4.40329597952343	3.28311978217473	3.01881306113001	3.08811713143351	3.48479010198084
2	3.17735583724141	3.0914338155544	3.49130270296889	4.4002761919739	5.50771994643886	6.42945340222423	6.88659080052244	6.82555814213476	6.46085650034924	5.47429225219557	4.87180088111322	3.838911937326
3	3.04549418642949	3.25668227357152	3.90313060590557	4.83221315897854	5.88668689211266	6.76179080705931	6.84551935307022	6.75437068221358	5.93234878035741	5.22472066279094	3.90044024374572	3.31546160821874
4	5.54465564901232	4.30465274965338	3.45162910411262	2.98411364487436	3.16922735330474	4.00903074074454	4.61051441398135	5.64444807191038	6.24387894813708	6.90886380752552	7.17747137839439	6.44707897003014
5	4.96164607145066	4.12307266459118	3.17937924589747	2.98940909585558	3.07274021710816	4.11751577583581	5.02999087675293	6.05013334002879	6.7522374130587	6.91797529382503	7.01743758355934	6.08801239857178
6	6.84467341524429	6.70700917728866	5.82087489997291	4.36224123304913	3.56278023300166	2.93052630764809	2.99812165434357	3.76563067111599	4.4039392052655	5.18096781238268	6.19496909389188	6.74762971398381
7	6.48038462548534	5.84205699372237	4.67839981095506	3.83607164470602	3.13371511393323	3.23188856110496	3.54726748327222	4.36520671521069	5.34102716246182	6.42133568793242	6.77097661202408	6.83904738614413
8	4.3713370118851	5.33118147525498	6.58955885254888	6.7878012643427	7.05414294452504	6.480396113583	5.7586965196519	4.4486357635337	3.51192742516695	3.29461479500139	3.2526875908357	3.60674192385584
9	7.18040658998002	6.41606101970783	5.46337723846406	4.73754972132146	3.67586865696649	3.23267756678006	2.85179596068904	3.5735171922313	4.41476691541778	5.51536505344349	6.38843309385257	7.03930815462643
10	4.02772387370787	3.51620078875206	3.01592220896727	3.22593380663717	3.96565399979545	5.25042053449571	6.14159079767653	6.91376951870182	6.80533078800519	6.8983940586681	6.05830737669085	5.12145326202546
11	7.08374281020107	6.66340634265372	5.67755918998663	4.44900973345985	3.57498799917451	3.00294032726546	2.94096290598618	3.52273231472585	4.52891457399787	5.74234739593745	6.19349768158775	6.84659589945509
12	3.93626655215889	4.8740753033958	6.12079742556144	6.84325030282677	6.96361211657319	6.52031602791179	6.1864277622723	4.72565055831782	3.65908577487801	3.53637193866588	3.16651498951009	3.3700892029935
13	6.1730757868526	6.70193405665614	6.92886937149457	6.78981901068749	5.90799636899447	5.01352208668307	3.74881484581556	3.51423377858088	3.02566594655237	3.10360112133832	3.85412005338249	5.10107539279817
14	5.83715516725209	4.69383937219185	3.9868504094992	3.33933645724855	2.87742357615821	3.43000965158912	4.16158257557361	5.1496683256607	5.91921376965988	6.82541244815372	6.77608278661433	6.39074900731068
15	6.24580928637657	5.06290276520854	4.11908283039842	3.36311648237858	3.05784291308814	3.1188919167223	3.61838596622347	4.76811863031746	5.80356924619	6.52501422214226	6.65003782702574	6.9019370360089
16	6.82866524670695	6.62203858310961	5.59427814801614	4.99192401036489	3.86077925361671	3.08740644334896	3.22908457028385	3.30248922399803	4.19677905497152	5.33258424169762	6.25533842289647	6.9011571176713
17	5.88925000799763	6.60253481408667	6.81633277929127	6.60262163721169	5.74948178778896	4.85472615529161	3.64432802236434	3.08070255802932	3.122062641206	3.39017408823944	4.26289014135414	4.98879619790186
18	6.34686996506798	6.89849628342113	6.94372226052475	6.71674833369204	5.97900086321666	4.65542504721522	3.58266047856121	3.0850117743629	3.1564549277773	3.46794501740962	4.28599428896343	5.38644809508946
19	4.2161915492914	3.23898686431909	2.99502784302314	3.08998936046694	3.74649062462979	4.27899782414062	6.03375782685812	6.6048924035241	6.97532382685046	6.95546127694223	6.0654131817367	5.12447851679595
20	6.92969942984378	6.8817735909522	5.75528651139584	4.50852292009921	3.74013775253288	3.51517505361995	3.21425132595652	3.44888758401401	4.35512047147134	5.18034421338676	6.24747753118548	6.9357117333791
21	2.9959920645953	3.15651543205393	3.99627578969162	4.85686310735127	6.10592377220747	6.60707366047619	7.12987013733379	6.88596824950526	5.90297887385589	4.86463902605701	3.90200525662077	3.51122810285647
22	3.55506087272274	3.07777550711505	3.64128314609945	4.72378122893717	5.67884028704061	6.42793872780511	6.99016861825551	7.10671020735606	6.51115512747459	5.51289652004631	4.3696469829499	3.37901965375715
23	4.75846010441948	5.88587419305893	6.8674238442521	7.15395454602879	7.01450943132071	6.26988513556985	5.24766556064033	4.05942285721417	3.1282881273621	2.82547065526152	3.19098649862197	3.85850417990182
24	6.07940567844311	5.56633144721608	4.12399047124845	3.391546710689	2.90864846964042	2.99620979801319	3.85088691030571	4.80121662077416	6.07532548723619	6.81539194776684	6.93992920314808	6.84082612060456
25	3.60233705078398	2.6844816529359	3.27406956426501	3.37291287840364	4.34276653707816	5.47605275458396	6.45701826351986	7.11341843821443	6.928882843179	6.1828729349902	5.66635427755793	4.39449580304329
26	2.82430914257156	3.39249823082445	4.17727236292893	5.97177700237869	6.64165902450396	6.73746097886513	7.02041691603811	6.30767777707326	5.60898223049527	4.50743869053773	3.37592000285209	3.05497180352673
27	5.7897216081095	4.8054125780249	3.83962644270063	3.35129047267659	2.8533548513854	3.48694163935523	4.15633056640084	4.94190901227245	6.20609079888233	6.94916301032732	6.87560536278755	6.46981947217988
28	6.64941985628565	6.94765829287456	6.84300674543451	5.72575524407063	5.28381717130747	3.91636308294208	3.16687721688877	2.95850462217429	3.30865619641689	3.96804118453721	4.89410073495358	5.85607551921338
29	3.49214998924623	4.11877650305223	5.33098195318039	6.01227678953093	6.72668247806647	6.86935062741146	6.78787110770515	5.99052645150235	4.81971270808559	3.87915444117849	3.08804546809445	3.11702069090134
30	3.00535312845919	3.585909631923	4.1331740471807	5.30020133310302	6.08683967310171	6.91432477146502	7.12013825423474	6.58014853895208	5.73431831256638	4.65539527738093	3.59039577638499	2.98059745373769
31	4.45179996902158	3.55601554238418	2.88369766930154	3.09462740051303	3.75327292407862	4.82619373582305	5.72722070988494	6.32310316210022	6.9758371793015	6.99813048702497	6.41005760018781	5.52839649495141
32	4.27445243523345	5.10752244644921	6.17743463504791	6.6178327437571	7.05035159688127	6.63563910841467	5.89247682449765	4.72871256122932	3.86044617783101	3.59256590588045	2.84407411510154	3.52950360917383
33	3.17119099438532	3.88569911655797	4.74997066302131	5.70716750689357	6.77218744246812	7.00404221759638	6.970725239125	5.96709584376029	5.42077665398276	4.06200531501527	3.4858449700437	3.10304305740251
34	6.86493100277747	7.13816892130198	5.9778438113033	5.03031312782715	3.72545635717608	3.44036059109762	2.98809591521899	3.23092958159385	4.0810543667124	4.69292271248037	5.8560846774105	6.58841137978804
35	3.05790314283186	3.20385015674915	3.91496673648807	4.87571830339585	6.02252164261329	6.75201801386479	6.90968633947247	6.78786527232235	5.8398363052577	5.0796734262042	4.29316333232933	3.24671229096615
36	3.4272872113761	3.83994805421668	5.36609929421076	5.91838749974794	6.43094774050336	6.84661993190663	6.51435655875123	5.85666413212318	4.81079796768962	3.87003236758689	2.99336062199831	3.09795624412125
37	6.66601632966323	5.99124349745332	5.10555367406606	3.9414714464757	3.44626590546228	2.89278601424596	3.20670251330578	3.85583545835052	4.84425309410484	5.99175295447455	6.85206315458651	6.9906782109645
38	6.19985831908256	5.19684765959731	3.95022402615391	3.02433115053136	2.95554032627237	3.24256792834971	3.81987455329981	4.91134157387145	5.7881217611672	6.59547131590981	6.90747827107033	7.06926363446877
