CycID	meta3d_Pvalue	meta3d_BH.Q	meta3d_Period	meta3d_Phase	meta3d_Base	meta3d_AMP	meta3d_rAMP
Gene1	0.0119251319765321	0.0170684140885479	24	8.56027355212659	5.00446835700467	1.45682179380761	0.291104207256805
Gene2	1.68053022433501e-05	4.57758653296756e-05	24	11.9169140842525	4.99654751162285	1.76089612184122	0.352422571334519
Gene3	3.08974490437208e-08	1.61484925315614e-07	24	11.4363893773331	4.99221887829213	1.91178640926092	0.382953243010641
Gene4	0.0117770995699005	0.0168726354869635	24	20.5681254016634	4.99511899321926	1.4298904227356	0.286257529535661
Gene5	0.0509300172487415	0.061908448843689	24	19.4760651779821	4.98986038977415	1.52487976598969	0.305595677409064
Gene6	1.48991929904696e-13	3.60464346543619e-12	24	23.0782213689401	4.98798420792427	1.9941916269514	0.399799105976174
Gene7	7.10764886724391e-07	2.66870420547331e-06	24	22.3737737323611	5.0063822488634	1.88766896190021	0.377052503797282
Gene8	0.002826561245036	0.00459449512448251	24	9.12754156816614	5.00000112472207	1.48841300095728	0.297682533229433
Gene9	5.41344746807226e-13	1.03441671364438e-11	24	23.1136057935721	4.99338294231459	2.00487839070313	0.401507037185857
Gene10	0.046156592982041	0.056936586737715	24	14.4141784475467	4.9946252282986	1.47163191502507	0.294643110895906
Gene11	5.99520433297585e-15	2.76701738445039e-13	24	22.9945126886323	5.00578930609517	2.01242913996373	0.402020344226902
Gene12	0.000410194241218687	0.000797009536046672	24	9.60384371924832	4.99886584241795	1.62416681723721	0.324907062609146
Gene13	0.0453640328328322	0.0561204529890708	24	2.39195128119738	5.0101377799729	1.47441520666079	0.294286359260318
Gene14	0.00185523999466686	0.0031348782168652	24	21.2513633748919	4.99303186609061	1.53630080599432	0.30768896478067
Gene15	4.22124936009238e-05	0.000102873664340188	24	21.9710811008597	5.00013128504473	1.72727111238333	0.345445152120217
Gene16	4.77561767908696e-10	4.23871391634937e-09	24	23.266206212003	4.99116282523519	1.99425081293278	0.399556352449554
Gene17	0.0437858922331761	0.0544826531312851	24	2.35878214936577	4.9955115835981	1.47820093416733	0.295905816537539
Gene18	0.019904699269825	0.0270444283557405	24	1.72964955331827	5.00375746047334	1.43840397265324	0.28746476703073
Gene19	0.0948163807429233	0.104538457268934	24	15.5691981802643	4.99238585765559	1.75318445833065	0.351171665876391
Gene20	1.27517996162396e-11	1.67141662829003e-10	24	23.1766687343754	5.00293275362347	1.9873417070996	0.39723534274176
Gene21	3.37159300478618e-10	3.17077712048857e-09	24	11.256224797558	5.00179297038814	1.9650487450649	0.392868868563429
Gene22	2.92849885497048e-06	9.51841447986071e-06	24	11.7417714564452	5.00719832333341	1.86297833648747	0.372060025624717
Gene23	0.0204169353826218	0.0276402554818887	24	8.25383972505838	4.98346549170245	1.44352357842673	0.289662601422688
Gene24	0.000132282652397731	0.000289670041746856	24	21.8040692243091	5.0026855387832	1.70274189633507	0.340365566281272
Gene25	0.00772447917490071	0.0114833684463341	24	13.2353392560899	4.99975862576529	1.46510067685365	0.293034281555821
Gene26	0	0	24	10.978733864482	4.98459479530362	2.01448568948423	0.404142316920572
Gene27	0.00200708417416184	0.00336570850893545	24	21.2297520597255	5.00137018150166	1.53125667621737	0.306167434252508
Gene28	0.000594925666211332	0.00112109107954397	24	0.472507421396086	5.00150000807573	1.59572565572063	0.319049415804074
Gene29	1.00466377439545e-06	3.64008613911395e-06	24	10.3479511613643	5.00771530064753	1.88509763046785	0.376438658608267
