CycID	ARS_pvalue	ARS_BH.Q	ARS_period	ARS_adjphase	ARS_amplitude	meta2d_Base	meta2d_AMP	meta2d_rAMP	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12
Gene1	0.0119251319765321	0.0170684140885479	24	8.56027355212659	1.13250786677257	5.00446835700467	1.45682179380761	0.291104207256805	4.57491463336633	5.6202338047471	6.47173240475719	6.96672959385035	6.93963345869683	6.33730589013735	5.40994852575669	4.41889046513628	3.4835541335358	2.99982405250026	3.14785591033425	3.68299741123759
Gene2	1.68053022433501e-05	4.57758653296756e-05	24	11.9169140842525	1.69855233333228	4.99654751162285	1.76089612184122	0.352422571334519	3.08109924602666	3.08528666295573	3.48240607461988	4.35520669031046	5.39910900097408	6.34942400886063	6.83160093157434	6.92287331981965	6.5039973814044	5.63272095566329	4.60595901352926	3.70888685373581
Gene3	3.08974490437208e-08	1.61484925315614e-07	24	11.4363893773331	1.89622469683957	4.99221887829213	1.91178640926092	0.382953243010641	2.97849347028908	3.20984982710069	3.91894798351145	4.90236674848172	5.89939069689413	6.67262997453454	6.95466684974662	6.74290987558534	6.04222082464857	5.13055834161076	4.0861543908918	3.36843755621089
Gene4	0.0117770995699005	0.0168726354869635	24	20.5681254016634	1.1133331879988	4.99511899321926	1.4298904227356	0.286257529535661	5.37184519928878	4.3202850251482	3.44784033026978	3.07644945347701	3.0894680683524	3.68256685199356	4.5943543610917	5.61774611968112	6.45693611434066	6.97288048522576	6.98463462319539	6.32642128656679
Gene5	0.0509300172487415	0.061908448843689	24	19.4760651779821	0.91794645354322	4.98986038977415	1.52487976598969	0.305595677409064	5.04195158468217	4.04844902890103	3.28835257702989	2.95963444931072	3.19858570702264	3.94588318666078	4.98395608602499	5.98734717454888	6.6903940530892	7.02005203780139	6.71253587026681	6.00118292195133
Gene6	1.48991929904696e-13	3.60464346543619e-12	24	23.0782213689401	1.9936678854265	4.98798420792427	1.9941916269514	0.399799105976174	6.89488400806388	6.52988475588881	5.63810314615622	4.63396460815775	3.63235619718898	3.06237634289573	2.98495979562626	3.53798748196362	4.3735676352128	5.42642161856473	6.30637891014456	6.83492599522788
Gene7	7.10764886724391e-07	2.66870420547331e-06	24	22.3737737323611	1.85617307122121	5.0063822488634	1.88766896190021	0.377052503797282	6.59951856603726	5.69055137881429	4.70519027579674	3.74042374281923	3.18189822239558	3.00356413492182	3.45576227550536	4.26728214732824	5.32851583128256	6.23963281182909	6.88328099683605	6.98096660279453
Gene8	0.002826561245036	0.00459449512448251	24	9.12754156816614	1.28176213485183	5.00000112472207	1.48841300095728	0.297682533229433	4.33279147255829	5.38483937663654	6.29109764238371	6.87524081894138	6.94781215006166	6.47578186094275	5.72350588576069	4.61918468707485	3.71236025783942	3.13315378050777	3.07749669028753	3.42674887367022
Gene9	5.41344746807226e-13	1.03441671364438e-11	24	23.1136057935721	2.00376788462673	4.99338294231459	2.00487839070313	0.401507037185857	6.99515106467446	6.52001021737296	5.61885874940071	4.67604470774568	3.67526904984809	3.10524465368494	3.04961725196802	3.4256665955342	4.30521541665692	5.38587486207332	6.26849715778605	6.89514558102972
Gene10	0.046156592982041	0.056936586737715	24	14.4141784475467	0.911580248430851	4.9946252282986	1.47163191502507	0.294643110895906	3.92785317471211	3.30492498817368	3.01687948223422	3.29814026471539	4.06948961154973	5.05060379330694	6.0238946207173	6.74595795907198	6.96560106699314	6.696702200603	5.93557053774171	4.89988503976407
